datetime,price,volume
2025-05-01 15:07:41.552,152.9493963584575,3482356713.668135
2025-05-01 16:03:18.117,152.02167605988114,3608441363.7411337
2025-05-01 17:11:02.496,152.18156129696033,3599155889.9360723
2025-05-01 18:00:47.841,151.27705163027798,3779418701.7504363
2025-05-01 19:00:44.610,151.08804906132497,3819087926.813008
2025-05-01 20:09:53.347,150.17212501607975,3810021710.481447
2025-05-01 21:04:26.359,150.1928515225523,3798900064.2482224
2025-05-01 22:09:44.953,150.61789528266527,3779380752.362822
2025-05-01 23:09:48.635,150.25768731580487,3755469730.5168104
2025-05-02 00:09:57.083,151.0179475223475,3737625358.449256
2025-05-02 01:08:35.656,151.39379305935483,3642689266.440271
2025-05-02 02:04:21.731,150.57593307603787,3725763292.0247746
2025-05-02 03:03:29.948,150.75632159415213,3694850617.745555
2025-05-02 04:09:41.456,150.72932214589966,3659862710.820463
2025-05-02 05:04:53.554,150.25792794341953,3683334411.684414
2025-05-02 06:01:51.178,149.61773985579825,3745126434.006864
2025-05-02 07:09:01.979,148.880925679241,3759419069.905195
2025-05-02 08:09:19.130,148.76627281250083,3745934564.370277
2025-05-02 09:04:32.593,149.45515984907868,3790075919.3216333
2025-05-02 10:04:39.718,149.62505045005062,3723808847.135834
2025-05-02 11:02:22.901,150.1123855955001,3628867055.103208
2025-05-02 12:09:50.785,150.80988193166186,3586116158.64662
2025-05-02 13:10:18.032,150.82045890414452,3502423067.8305697
2025-05-02 14:09:37.717,150.83395240978297,3591999447.1355295
2025-05-02 15:13:25.006,151.13479947871397,3550392824.4796705
2025-05-02 16:19:59.964,151.03428096139314,3268507285.3913913
2025-05-02 17:14:55.902,149.97364263101628,3322743121.0764823
2025-05-02 18:04:42.849,149.7840295479225,3192440273.678043
2025-05-02 19:08:02.179,149.45290149531522,3226741828.2794795
2025-05-02 20:09:58.731,147.97473656362422,3100075723.556859
2025-05-02 21:09:57.566,148.27558837600526,3155076047.2428412
2025-05-02 22:11:08.868,147.55938991857533,3226621370.2324276
2025-05-02 23:09:51.970,147.80181479040596,3214691738.6816006
2025-05-03 00:09:39.503,148.1305887584747,3179477424.1419516
2025-05-03 01:05:41.298,148.0634262845311,3148933294.3143578
2025-05-03 02:04:51.760,147.98191045748123,3056625945.5228434
2025-05-03 03:03:04.353,148.65489199356222,3012370760.063608
2025-05-03 04:04:59.294,148.4415668075088,3009819530.9709144
2025-05-03 05:09:47.684,148.16024438570966,2924278063.6529098
2025-05-03 06:00:27.330,147.90543714231296,2859887444.4504204
2025-05-03 07:09:48.433,147.82418750782094,2739204781.4415755
2025-05-03 08:14:48.030,147.8378380423727,2666841001.2600265
2025-05-03 09:02:27.792,148.1804916911897,2641926076.508654
2025-05-03 10:09:34.403,147.35806128316494,2625732710.121856
2025-05-03 11:09:45.195,147.04298519388757,2635221656.600892
2025-05-03 12:12:33.552,147.31237492251722,2576347440.9149523
2025-05-03 13:11:45.401,148.18966414940903,2437555799.770118
2025-05-03 14:09:13.699,148.52662969977646,2328784550.1665015
2025-05-03 15:09:49.026,148.62609616997096,2184386624.1257014
2025-05-03 16:10:16.104,148.4076694871177,2084683013.992001
2025-05-03 17:03:24.154,147.6546484138342,2024662682.1374328
2025-05-03 18:04:46.226,146.6213741233792,2046669984.134856
2025-05-03 19:07:47.281,146.6385665670011,2009464338.2525094
2025-05-03 20:04:27.726,147.44711557250247,1904880013.2774704
2025-05-03 21:04:29.727,147.47035746037113,1847963197.5871294
2025-05-03 22:09:48.487,147.61644146945378,1804866210.985424
2025-05-03 23:07:26.211,147.28094244111026,1780127892.5856853
2025-05-04 00:09:44.759,146.85455375640515,1773362402.1502678
2025-05-04 01:04:56.851,146.41860348539663,1767873694.1711302
2025-05-04 02:04:28.580,146.44331722436115,1755635591.307562
2025-05-04 03:04:58.892,146.3832141892021,1746184634.5717168
2025-05-04 04:08:28.153,145.75192631508506,1740768174.83978
2025-05-04 05:04:51.800,145.44120183611878,1751182457.7911377
2025-05-04 06:04:53.615,146.38701513742572,1776771372.421427
2025-05-04 07:09:44.436,145.66473212787403,1773410699.344803
2025-05-04 08:08:27.533,145.57680404270272,1775699246.6293583
2025-05-04 09:09:21.096,145.19070402409196,1802543064.7677326
2025-05-04 10:04:55.358,145.02220745265058,1816156469.9978518
2025-05-04 11:04:58.597,145.37490330407573,1771280365.311434
2025-05-04 12:07:58.026,145.5983506904016,1820832423.9801
2025-05-04 13:05:30.122,145.73967115190877,1804120224.8383112
2025-05-04 14:08:01.527,145.64321615042857,1744245568.4748256
2025-05-04 15:03:03.701,146.455901798004,1741153229.3458092
2025-05-04 16:10:52.134,147.03356211505238,1749770828.8074684
2025-05-04 17:14:56.255,147.01043335653242,1722217582.6916134
2025-05-04 18:08:39.274,147.4006697037011,1678843966.7001154
2025-05-04 19:09:44.072,146.54415395465955,1679216988.513724
2025-05-04 20:05:50.358,146.26713536091015,1680293893.2014751
2025-05-04 21:09:59.579,146.91525053381756,1685396904.335174
2025-05-04 22:07:49.558,146.7831663089653,1683009337.6842785
2025-05-04 23:08:40.504,145.11085498383807,1752202081.506582
2025-05-05 00:09:55.036,143.96330966776233,1841650947.5517435
2025-05-05 01:07:24.869,145.02284921477172,1861800649.4263847
2025-05-05 02:07:55.309,143.21470360144164,1901774159.6543756
2025-05-05 03:09:56.794,144.94656419123427,2027398191.4035056
2025-05-05 04:06:58.885,145.10713233600075,2035042261.7865174
2025-05-05 05:08:09.943,146.35422741431705,2087047156.7297223
2025-05-05 06:07:04.588,146.84839718452943,2097722481.0878432
